"MTurkCode","goal_order","goals","listNum","total_goal","goalType","affordance","approach_avoidance_R","attainability","attainment_maintenance_R","attractiveness_achievement","attractiveness_progress","basic_needs","clarity","commitment","commonality","conflict","connectedness","construal_level","control","difficulty","effort","end_state_specificity_R","external_importance","external_motivation","failure","frequency_R","ideal_motivation","identified_motivation","implementation_intention","importance","initial_time_R","instrumentality","intrinsic_motivation","introjected_motivation","meaningfulness","measurability","other_resources","ought_motivation","procrastination","regret","self_resources","social_desirability","specificity","temporal_duration","urgency","visibility"
"A2KOR4003SVNC5",1,"My goal is to study hard for the MCAT and get a score above 520 within the next three months.",3,3,"short-term",5,7,10,2,7,7,2,3,7,1,3,1,3,7,5,4,2,7,4,3,2,7,7,3,7,8,7,2,6,7,6,5,2,5,7,7,7,5,3,6,4
"A2KOR4003SVNC5",2,"My goal is to gain muscle mass in body for the remainder for this year.",3,3,"long-term",4,7,11,1,7,7,7,7,6,7,4,4,4,7,7,6,3,3,2,3,1,7,7,4,7,8,7,5,4,7,6,3,1,2,7,7,7,4,3,6,4
"A2KOR4003SVNC5",3,"My goal is to loss as much fat as possible for the next month.",3,3,"long-term",6,1,9,2,7,6,7,6,6,7,3,7,2,7,6,6,3,4,1,3,1,7,6,5,4,8,3,4,4,3,7,5,1,3,6,7,7,5,2,3,1
"A1OJV3R8BH73BD",1,"My goal is to find a higher paying, more satisfying job in my industry in the next three months.",3,4,"short-term",5,7,7,7,7,7,6,6,7,4,1,4,6,4,6,5,3,7,6,3,2,7,6,5,7,6,7,5,5,5,3,6,5,3,6,7,5,6,3,6,7
"A1OJV3R8BH73BD",2,"My goal is to save over $1,000 in total over the next three months ",3,4,"short-term",4,7,9,5,5,5,7,7,6,6,1,5,2,7,5,5,3,3,5,3,2,6,6,6,6,5,7,3,6,4,7,2,2,5,5,5,6,7,3,6,1
"A1OJV3R8BH73BD",3,"My goal is to stop eating candy and junk food for three months straight to improve my diet.",3,4,"short-term",7,1,5,NA,4,5,4,7,5,5,1,1,2,7,6,4,3,2,2,3,2,5,5,7,5,6,4,1,5,2,7,3,2,5,5,7,5,7,3,3,1
"A3OUNEJO97MM8E",1,"My goal is to finish painting my guest bedroom.",3,3,"short-term",5,7,10,1,6,6,3,5,7,6,2,4,6,5,5,7,1,6,5,1,2,4,5,6,6,6,3,4,2,4,6,6,4,3,5,6,5,7,2,6,7
"A3OUNEJO97MM8E",2,"My goal is for my wife and I to get pregnant",3,3,"long-term",7,7,6,7,7,7,6,7,7,6,5,5,7,5,6,5,3,7,7,3,2,6,7,7,7,8,7,7,7,7,7,5,7,1,7,6,7,7,3,6,7
"A3OUNEJO97MM8E",3,"My goal is to get a new car in three months",3,3,"short-term",5,7,11,6,6,5,4,6,7,6,2,3,3,5,4,4,3,2,6,1,2,2,5,5,6,6,6,7,6,3,7,6,7,2,3,6,6,7,3,6,7
"A7P3R1AIA4TVV",1,"My goal is to take my lunch to work at least three times a week instead of eating out everyday.",3,3,"recurrance",3,6,6,3,4,5,5,5,4,4,1,5,1,6,5,4,3,2,3,2,1,4,5,5,4,5,5,1,2,4,6,5,2,3,3,6,5,7,3,3,1
"A7P3R1AIA4TVV",2,"My goal is to lose 20 pounds.",3,3,"long-term",4,7,4,7,7,7,5,5,4,6,2,5,1,5,7,3,3,3,4,3,2,7,7,5,6,7,5,1,5,3,7,4,3,4,4,4,6,7,3,4,1
"A7P3R1AIA4TVV",3,"My goal is to finish the current semester with a 3.5 GPA or higher.",3,3,"short-term",4,7,8,7,6,6,2,6,6,3,5,2,1,6,5,5,2,4,2,1,2,6,6,6,5,4,5,1,3,5,7,4,2,2,6,6,6,7,2,4,1
"A121T4P5NKCHCS",1,"My goal is to be rid of my hard cast on my left foot/leg and finish physical rehab within 3 months.",3,3,"short-term",7,7,10,7,7,6,7,7,7,4,1,4,2,6,6,7,3,7,4,1,2,7,7,7,7,1,7,5,4,6,6,5,4,2,7,7,7,7,3,7,7
"A121T4P5NKCHCS",2,"My goal is to make at least $4000 between my prolific and MTurk accounts over the next 3 months. ",3,3,"short-term",7,7,6,3,6,6,7,7,7,4,4,4,7,7,6,6,3,6,3,2,1,6,7,5,6,7,3,4,2,6,7,4,4,2,5,7,4,7,3,6,1
"A121T4P5NKCHCS",3,"My goal is to eliminate milk products from my diet fully over the next three months. ",3,3,"short-term",4,7,7,7,6,6,7,7,7,2,1,4,3,7,6,3,3,5,5,3,1,7,6,7,6,8,5,1,3,4,6,2,4,5,6,6,4,7,3,7,4
"A3NLSGHK6RFXA8",1,"My goal is to lose 20 pounds in six months",4,4,"long-term",6,7,8,7,7,6,7,5,6,4,1,4,4,6,6,4,3,6,4,2,2,6,6,3,7,1,7,2,5,6,7,5,1,2,4,7,7,7,3,7,4
"A3NLSGHK6RFXA8",2,"My goal is to drink no more than one sugary drink/cola a day until July 1st",4,4,"recurrance",6,1,8,1,6,6,7,6,6,2,1,4,1,7,6,5,3,4,6,2,1,5,7,7,6,1,7,1,2,6,7,6,2,4,4,6,6,7,3,6,3
"A3NLSGHK6RFXA8",3,"My goal is to save to have bought half a bitcoin by July 1st",4,4,"short-term",7,7,9,7,7,7,4,7,7,1,1,1,6,5,7,7,3,6,1,1,2,6,7,7,6,1,7,6,1,5,7,1,1,2,6,7,4,7,3,7,1
"A3NLSGHK6RFXA8",4,"My goal is use mindfulness once a day for 90 days, starting April 1st",4,4,"long-term",5,7,8,7,7,6,7,6,5,4,1,4,3,7,7,5,3,1,1,3,1,7,6,4,5,1,5,4,1,6,7,2,1,4,5,7,2,7,3,5,1
"AOS2PVHT2HYTL",1,"I have a goal to lose 20 pounds in the next three months.",3,5,"short-term",7,7,9,1,7,7,7,7,7,7,1,1,4,7,4,4,NA,2,4,3,2,7,7,7,7,7,1,3,5,4,7,5,4,4,7,7,7,7,3,7,7
"AOS2PVHT2HYTL",2,"Another goal is to move from Washington to Texas within the next three months.",3,5,"short-term",7,7,11,7,7,7,7,7,7,1,1,1,7,7,4,4,3,6,4,1,2,5,7,7,7,8,1,6,1,5,6,7,1,1,7,7,7,7,3,4,7
"AOS2PVHT2HYTL",3,"I want to be debt free in the next few months.",3,5,"short-term",7,7,9,3,7,7,6,7,7,7,1,3,6,7,3,3,3,1,4,1,1,4,7,7,7,7,4,1,1,4,7,7,1,2,7,7,7,7,3,5,7
"A1TPGXT718D68E",1,"My goal is to replace the privacy fence and front fence in my yard within the next three months. ",3,3,"short-term",4,7,9,7,7,7,2,7,7,4,3,4,3,7,4,7,3,7,6,1,2,7,7,6,7,5,4,5,5,7,7,7,7,7,7,6,7,7,3,6,7
"A1TPGXT718D68E",2,"My goal is to make and save enough money for a new pair of glasses in the next month.",3,3,"short-term",3,7,11,1,7,7,7,7,7,7,4,7,2,7,7,7,1,7,7,3,2,4,7,7,7,5,7,1,7,4,7,5,1,4,7,3,7,7,2,7,7
"A1TPGXT718D68E",3,"My goal is to help my neighbor find a new job in the next month.",3,3,"short-term",4,7,6,7,7,7,6,5,7,7,4,1,7,1,6,4,3,7,7,2,2,4,7,5,7,5,7,4,7,7,7,7,5,4,7,7,7,7,2,7,7
"AKX5RHHO8BIUX",1,"My goal is to pay off the credit card by June 15th.",5,5,"short-term",5,7,10,7,6,6,6,7,7,5,3,4,2,7,3,4,3,2,5,1,2,5,7,7,5,6,6,5,7,5,7,4,1,2,6,7,7,7,3,6,4
"AKX5RHHO8BIUX",2,"My goal is to keep my disabled wife alive and as healthy as possible.",5,5,"recurrance",7,5,8,1,7,7,6,6,7,1,5,5,7,7,7,7,1,7,7,1,1,7,7,6,7,8,3,2,7,7,5,5,5,2,7,5,7,6,4,7,7
"AKX5RHHO8BIUX",3,"My goal is to get the gutters fixed and add Leaf Guard to them by June 1",5,5,"short-term",4,6,10,7,6,5,5,7,6,3,2,3,3,6,2,2,3,2,7,1,2,4,5,6,5,6,4,2,6,3,7,2,1,4,6,6,6,7,3,4,2
"AKX5RHHO8BIUX",4,"My goal is to get the upstairs completely decluttered by August 1.",5,5,"short-term",5,6,9,3,6,6,3,5,6,4,3,5,2,7,6,2,3,3,5,2,2,5,6,5,6,7,5,2,6,5,5,5,5,5,7,6,6,6,3,4,5
"AKX5RHHO8BIUX",5,"My goal is to get the yard cleaned up by April 15. ",5,5,"short-term",5,6,10,1,6,6,3,5,5,5,2,4,1,7,3,3,1,4,5,1,2,3,6,6,5,4,4,5,6,6,6,5,3,3,5,6,6,6,2,3,5
"A26UAJWMMNN351",1,"I want to remodel my condo.",3,3,"short-term",7,7,11,7,6,7,7,7,7,7,1,4,4,6,2,4,3,7,5,1,2,1,7,7,7,7,1,4,1,7,7,7,1,1,7,4,7,7,2,7,7
"A26UAJWMMNN351",2,"I would like to find a boyfriend.",3,3,"long-term",7,7,6,4,4,4,7,7,4,7,4,1,4,7,4,4,1,4,1,3,1,6,4,6,4,7,4,7,7,7,4,7,1,4,1,7,7,7,3,4,7
"A26UAJWMMNN351",3,"I would like to pay off a lot of my credit card bills.",3,3,"short-term",7,7,11,1,6,6,7,7,7,7,1,4,4,7,4,4,2,7,7,1,1,7,7,7,7,7,7,1,7,4,7,7,4,1,7,7,7,7,4,7,7
"AM0QVBV8L6QCJ",1,"I currently  weigh 225 lbs. My goal weight is 195",2,2,"long-term",6,7,7,7,7,5,7,7,6,6,1,1,2,7,6,7,3,4,1,3,2,4,7,7,7,8,6,2,3,4,7,6,2,4,4,6,7,7,3,4,7
"AM0QVBV8L6QCJ",2,"I currently  work 50 to 60 hours per week. My goal is to retire and work remotely  as a consultant  less hours",2,2,"long-term",6,7,6,7,7,7,7,7,7,1,1,1,6,5,7,4,3,7,1,1,2,7,7,6,7,8,4,1,2,7,6,7,1,2,7,5,7,7,4,6,4
"A2X3FSFHV5GHJU",1,"To establish a bee hive colony in the backyard supported by flowering plants in my yard",3,3,"long-term",4,7,11,7,6,6,2,6,6,1,1,2,6,7,4,4,1,2,3,1,1,7,7,7,6,8,4,5,1,6,6,4,1,2,6,6,6,6,3,6,6
"A2X3FSFHV5GHJU",2,"Get more exercise by walking the dog at least 3 days a week for at least 30 minutes",3,3,"recurrance",4,6,9,6,5,5,6,6,5,5,2,2,4,7,3,4,3,2,1,1,1,4,5,7,4,4,3,6,1,3,6,5,1,5,3,6,6,7,3,3,4
"A2X3FSFHV5GHJU",3,"Get rid of excess household possessions and donate useable goods to charity",3,3,"long-term",3,6,8,6,7,5,5,6,4,6,1,2,7,7,6,2,1,2,2,3,1,6,7,5,4,8,4,1,2,6,6,2,1,6,6,5,6,5,4,4,3
"A1F1TBDHPYAAXT",1,"Increase number of steps per day to 10,000 in 3 months",3,3,"short-term",7,7,10,7,7,6,6,7,7,5,1,7,4,7,5,7,3,7,4,1,1,6,7,7,7,1,7,6,2,6,7,7,2,3,5,7,7,7,3,6,5
"A1F1TBDHPYAAXT",2,"Lose 20 pounds in 3 months by getting my weight below 220",3,3,"short-term",7,7,6,7,7,7,7,7,7,6,1,7,6,7,7,7,3,7,7,3,1,7,7,7,7,6,7,2,4,7,7,7,5,6,5,7,7,7,3,7,7
"A1F1TBDHPYAAXT",3,"Buy $500 of silver either physical or ETF's per month",3,3,"recurrance",6,7,10,7,7,7,7,7,6,2,1,1,4,7,4,4,3,3,4,1,1,5,7,7,6,5,6,6,1,6,7,6,1,1,6,7,4,7,4,4,4
"AFMAFX0P2YRRV",1,"My goal is to replace the struts on my jeep with in the end of next month",1,1,"short-term",4,7,11,1,5,6,7,7,5,4,1,4,3,7,4,4,NA,4,7,1,2,1,7,7,5,6,4,1,4,4,7,4,1,4,7,7,4,7,2,5,5
"A38BO0BRCQX6OV",1,"To lose about 20 pounds ",3,3,"long-term",7,6,6,1,6,6,7,5,6,7,2,4,6,6,7,5,2,4,1,2,1,7,6,5,6,6,6,5,5,4,6,5,3,5,5,6,6,7,3,5,5
"A38BO0BRCQX6OV",2,"To save up an additional 10k ",3,3,"long-term",6,4,8,7,6,6,3,6,5,5,1,6,7,7,6,6,3,6,2,1,1,6,5,6,6,6,7,7,2,4,7,5,1,4,4,7,7,7,3,5,5
"A38BO0BRCQX6OV",3,"To get more organized & orderly at work and at home",3,3,"recurrance",6,4,6,1,7,7,7,5,7,6,1,6,5,7,7,7,1,NA,1,3,1,7,7,5,6,8,7,1,4,5,6,5,2,6,7,5,4,7,4,7,4
"AIA7RZSAONU5M",1,"I want to eat healthier at least once a day, every day.",3,3,"recurrance",3,7,6,1,6,6,6,3,5,7,2,6,1,6,7,2,3,4,5,3,1,5,5,2,5,8,6,2,3,3,4,6,3,6,5,4,7,3,1,4,5
"AIA7RZSAONU5M",2,"I want to exercise at least twice a week, every week.",3,3,"recurrance",3,7,2,1,6,6,6,3,4,7,1,6,1,7,7,6,3,6,5,3,1,5,5,2,6,8,6,2,4,4,7,5,3,7,6,3,7,6,2,4,5
"AIA7RZSAONU5M",3,"I want to standardize my sleep schedule (go to bed by 2-4 AM at the latest and get up by 12-2 PM at the latest) every day. ",3,3,"recurrance",2,7,3,1,7,6,7,7,7,2,1,6,1,7,7,4,3,6,4,3,1,6,7,7,7,7,7,2,5,4,7,6,5,6,7,4,6,7,1,7,7
"A2615YW1YERQBO",1,"I have a goal to have my shoulder problem healed in 3 months",3,3,"long-term",5,7,4,7,4,4,5,4,5,1,3,2,4,4,4,4,1,3,4,1,2,4,3,3,4,4,3,2,2,3,4,3,4,2,3,3,4,6,3,3,3
"A2615YW1YERQBO",2,"My goal is to get my roof repaired in 2 years.",3,3,"long-term",3,7,5,6,5,5,4,4,3,4,2,2,5,6,4,3,3,2,4,1,2,2,5,4,4,7,3,1,6,2,6,3,3,2,4,3,4,6,4,3,3
"A2615YW1YERQBO",3,"Another goal is to be financially independent in 5 years.",3,3,"long-term",4,7,4,7,5,5,5,3,5,5,1,6,7,7,5,4,1,3,3,1,NA,5,5,4,5,7,7,3,5,4,4,2,2,2,4,4,6,4,4,4,4
"A3OPRR8AXT6OSJ",1,"Jog three miles per day for five days during the week for a total of 15 miles per week.",3,3,"recurrance",6,7,10,5,6,6,6,6,7,4,3,6,4,7,7,5,3,3,1,1,1,6,7,5,7,6,7,5,3,6,7,4,1,2,6,6,4,7,2,6,4
"A3OPRR8AXT6OSJ",2,"Limit my caloric intake to 2,500 calories per day.",3,3,"recurrance",5,2,9,6,7,7,7,6,7,5,1,7,6,6,6,7,3,4,1,1,1,7,7,5,7,6,7,5,5,7,7,5,2,3,7,6,5,7,1,7,4
"A3OPRR8AXT6OSJ",3,"Walk three miles per day seven days a week for a total of 21 miles per week",3,3,"recurrance",6,7,11,7,6,6,7,7,7,5,1,7,4,7,4,7,3,7,1,1,1,7,7,7,7,4,7,5,4,7,7,5,1,1,6,7,5,7,1,6,4
"A1AIMKA54UBYIQ",1,"I want to eat fruits and vegetables at least once a day.",2,2,"recurrance",4,7,9,2,5,5,5,6,5,5,3,4,4,6,3,3,2,1,2,1,1,5,7,2,6,6,2,1,6,2,7,1,1,3,5,6,7,5,NA,3,3
"A1AIMKA54UBYIQ",2,"I want to take a walk once a week.",2,2,"recurrance",5,7,8,5,5,6,7,5,4,4,3,3,3,6,5,5,3,2,1,3,1,7,6,4,6,7,2,1,5,2,6,3,1,4,6,6,7,6,4,4,2
"A286W816CMIZL9",1,"My goal is to lose 30 lbs in the next 6 months.",3,2,"long-term",4,7,8,7,7,7,6,7,7,5,1,7,4,6,6,3,3,6,5,3,2,7,5,7,7,7,7,1,3,5,7,5,5,7,6,6,6,7,3,5,1
"A286W816CMIZL9",2,"My goal is to walk 10,000 steps per day",3,2,"recurrance",5,7,6,6,5,5,5,7,6,7,1,7,1,7,5,5,3,2,1,3,1,4,4,7,5,6,7,3,1,5,7,3,1,4,5,7,5,7,3,4,1
"A286W816CMIZL9",3,"My goal is to workout in the gym at least twice a week",3,2,"recurrance",4,7,6,1,5,6,6,5,4,6,1,7,1,7,6,7,2,2,1,3,1,3,5,5,6,4,7,1,2,4,5,1,1,7,5,5,5,5,3,5,1
"A3HXM7BGH18FOW",1,"My goal is to exercise every day.",3,3,"recurrance",7,7,7,3,6,6,7,5,7,7,1,5,4,7,4,4,3,5,1,2,1,5,7,5,6,6,4,3,1,4,7,7,1,3,4,7,7,6,3,5,6
"A3HXM7BGH18FOW",2,"My goal is to learn how to use my Cricut crafting machine in the next three months.",3,3,"long-term",4,7,6,5,6,5,1,2,6,1,1,1,1,5,7,4,1,1,1,1,1,1,3,2,4,5,1,5,1,1,3,2,1,4,4,4,3,4,3,1,4
"A3HXM7BGH18FOW",3,"My goal is to eat less sugary foods.",3,3,"recurrance",3,1,6,1,6,6,7,3,4,7,1,6,1,6,6,4,1,1,1,3,1,1,7,3,7,5,3,1,1,3,1,4,1,4,5,5,7,1,3,4,5
"A770OB1ZAGJ4G",1,"Paying down my credit cards until they are done.",4,4,"recurrance",6,7,7,6,7,7,4,7,7,6,2,3,6,7,7,6,1,3,5,3,2,4,7,6,7,8,6,1,6,4,7,6,6,4,7,7,7,7,4,6,7
"A770OB1ZAGJ4G",2,"Eating healthy from now on.",4,4,"recurrance",6,7,5,1,6,7,6,6,7,7,4,5,7,7,7,5,1,4,5,3,1,5,6,6,7,8,6,1,6,5,7,6,5,6,7,6,6,7,4,7,6
"A770OB1ZAGJ4G",3,"Losing weight until I reach my goal weight.",4,4,"recurrance",6,7,7,7,7,7,6,7,7,7,3,6,7,7,7,6,1,7,6,3,1,5,7,6,7,8,6,1,6,5,7,6,6,6,7,5,6,7,4,6,6
"A770OB1ZAGJ4G",4,"Exercising and walking more to strengthen my lungs.",4,4,"recurrance",7,7,8,1,7,7,7,7,7,5,1,7,7,7,7,7,1,7,7,2,1,7,7,7,7,7,7,3,7,7,7,6,6,5,7,7,7,7,4,7,7
"A17KN7NAP48L4B",1,"My goal is to reach my goal weight of 170 in the next three months.",3,3,"short-term",4,7,9,7,7,7,7,7,7,4,1,4,1,7,4,7,3,3,3,3,2,5,7,7,7,6,4,1,3,4,7,7,1,1,7,7,5,7,3,4,5
"A17KN7NAP48L4B",2,"My goal is to drink three bottles of water or six cups of water every day.",3,3,"recurrance",7,4,6,4,6,6,7,6,6,4,1,4,1,7,3,3,3,4,4,3,1,4,7,5,5,4,7,1,1,3,7,3,1,3,4,7,5,7,1,4,4
"A17KN7NAP48L4B",3,"My goal is to exercise every other day.",3,3,"recurrance",7,5,6,1,6,6,7,7,6,6,1,4,1,7,7,7,3,4,1,3,1,4,7,7,6,6,7,1,1,3,6,5,1,4,6,7,5,5,1,4,4
"A110BZSDZN7E16",1,"To move to Gulf Shores, Alabama by the beginning of Summer 2021",3,4,"short-term",4,7,8,7,7,7,5,7,7,4,1,1,4,7,7,7,3,7,1,2,2,7,4,7,7,8,7,7,1,5,7,5,1,1,7,7,7,7,3,6,7
"A110BZSDZN7E16",2,"To lose 20 pounds before the beginning of Summer 2021",3,4,"short-term",7,7,6,7,6,6,6,6,7,6,1,1,4,7,6,6,3,4,3,1,2,7,6,6,7,6,4,5,5,3,7,6,1,1,7,6,6,7,3,5,5
"A110BZSDZN7E16",3,"To try and pay off all of my credit cards before the beginning of Summer 2021",3,4,"long-term",6,7,9,6,7,6,5,7,7,7,3,4,3,7,7,7,3,7,1,1,2,7,7,7,7,6,7,1,2,5,7,1,1,1,7,7,7,7,3,6,1
"A1X388C6SDCDEY",1,"I want to spend much more time reading my Bible and praying tp God.",4,4,"recurrance",7,NA,7,NA,7,7,2,4,6,6,3,4,7,7,7,2,1,2,1,3,1,7,7,3,7,8,7,2,1,7,5,4,1,7,6,7,7,6,4,3,2
"A1X388C6SDCDEY",2,"I have been trying to learn to play piano. ",4,4,"recurrance",3,NA,4,6,7,7,1,4,4,4,6,2,3,7,7,2,1,2,1,3,1,7,5,2,5,8,2,5,1,4,4,2,1,6,5,5,5,5,4,3,2
"A1X388C6SDCDEY",3,"I am striving to be a much better wife.",4,4,"recurrance",7,7,7,1,7,7,5,3,6,6,2,5,7,7,7,4,1,7,7,3,1,7,7,3,7,8,6,4,1,7,3,2,1,5,7,7,5,5,4,6,1
"A1X388C6SDCDEY",4,"I want to manage my time better.",4,4,"recurrance",5,NA,3,1,7,7,7,3,7,7,1,7,7,7,7,1,1,7,7,3,1,7,7,1,7,8,7,1,1,7,5,2,1,7,7,7,7,5,4,7,1
"A1BSVEBYDZ0AAU",1,"My goal is to start doing cardio consistently at least 3 times per week.",3,3,"recurrance",5,6,7,6,5,6,7,6,3,5,2,6,3,7,6,6,2,2,1,3,1,6,7,5,5,3,3,1,2,4,7,2,1,5,4,6,6,2,NA,3,2
"A1BSVEBYDZ0AAU",2,"My goal is to complete my scheduled weight training every day it's scheduled.",3,3,"recurrance",7,5,10,1,6,7,6,7,7,6,4,4,2,7,3,7,3,1,1,3,1,6,7,7,7,6,1,6,6,5,7,3,1,2,5,7,6,6,4,5,3
"A1BSVEBYDZ0AAU",3,"My goal is to tidy up my room on a weekly basis.",3,3,"recurrance",7,4,4,NA,3,5,7,7,2,3,2,1,NA,7,5,5,3,2,1,3,1,3,6,2,4,2,1,1,4,4,3,1,2,6,4,7,6,2,NA,3,1
"A1D2ZSPIHOI23K",1,"My goal is to make deans list in final semester.",3,4,"short-term",5,4,8,6,5,5,5,3,3,4,4,4,4,5,3,3,1,4,3,2,2,4,4,3,5,4,4,5,5,2,4,3,4,3,3,5,3,6,2,5,3
"A1D2ZSPIHOI23K",2,"My goal is to gain 15 pounds within 2 months.",3,4,"recurrance",6,3,3,5,5,3,3,5,4,4,3,3,4,7,3,5,1,5,3,2,2,5,5,5,2,6,4,5,3,4,3,5,3,3,5,4,3,3,3,6,3
"A1D2ZSPIHOI23K",3,"My goal is to start dating and going out more.",3,4,"short-term",5,3,5,4,2,4,3,5,7,6,5,4,4,3,7,2,2,2,3,1,1,5,3,3,2,5,5,5,5,4,3,2,6,3,6,4,3,2,4,5,2
"A2VGFS03KCCR1Q",1,"I have a goal of achieving my ideal body shape over the next 3 months",2,2,"short-term",5,7,7,1,7,7,7,7,5,7,3,1,6,7,7,7,1,1,4,3,1,7,6,5,7,8,5,1,5,2,7,1,1,7,7,7,7,5,3,3,5
"A2VGFS03KCCR1Q",2,"I have a goal of saving 50 dollars a month over the next 3 months",2,2,"recurrance",6,1,8,1,7,7,7,7,4,7,1,2,5,7,4,1,3,4,5,3,1,5,7,3,5,8,7,1,7,1,7,5,5,7,7,5,7,7,4,5,1
"AYA1LRB27KSR1",1,"To get settled into a new house",5,7,"short-term",7,7,9,7,7,7,7,7,7,5,1,4,7,3,6,7,1,7,1,1,2,7,7,7,7,6,7,2,1,7,7,6,7,1,7,7,7,4,3,7,7
"AYA1LRB27KSR1",2,"To sell at least 15 cars a month",5,7,"recurrance",7,7,7,1,7,7,7,7,7,3,1,5,7,7,7,7,3,7,1,3,1,7,7,7,7,6,7,1,1,7,7,7,7,1,7,7,7,7,4,7,7
"AYA1LRB27KSR1",3,"To lose 20 more pounds ",5,7,"recurrance",7,7,8,1,7,7,7,7,7,6,2,4,7,7,7,7,3,7,1,3,1,7,7,7,7,7,7,1,1,7,7,7,7,3,7,7,7,7,3,7,7
"AYA1LRB27KSR1",4,"To build up a savings",5,7,"recurrance",4,7,6,1,6,6,7,7,7,6,1,7,7,7,7,4,1,7,7,3,1,7,7,7,7,8,7,1,7,7,7,7,7,1,7,7,7,4,4,7,7
"AYA1LRB27KSR1",5,"To earn an extra $500 income from my regular income",5,7,"recurrance",7,7,8,1,6,6,7,7,7,5,1,7,7,7,7,7,3,7,6,3,1,7,7,7,7,6,7,7,1,7,7,7,7,1,7,7,7,7,4,7,7
"A132GRVDGXPJGY",1,"My goal is to finish installing deer fencing around my property within the next 3 months.",3,3,"short-term",3,7,11,7,6,6,7,6,7,1,2,7,1,7,6,6,3,4,7,2,2,2,7,4,7,7,5,1,3,5,7,5,1,2,7,7,6,7,3,6,6
"A132GRVDGXPJGY",2,"My goal is to lower my A1C test results (diabetes) in by June.",3,3,"short-term",3,7,7,6,7,7,7,5,5,5,1,2,7,5,7,5,1,6,2,3,1,6,7,5,7,8,7,1,7,4,7,2,1,4,7,6,5,4,3,7,5
"A132GRVDGXPJGY",3,"My goal is to build my greenhouse within the next 3 months.",3,3,"short-term",2,7,10,7,7,7,7,7,7,1,1,5,5,7,4,7,2,7,1,3,2,7,7,4,7,8,7,7,7,7,7,7,1,5,7,7,7,7,3,7,4
"A39H9RIYRB5ZYV",1,"after rehab continue to strenghten my shoulders",5,6,"recurrance",6,7,11,3,7,6,1,6,7,1,2,5,5,7,4,5,2,7,1,1,1,4,7,4,7,4,7,1,1,7,7,5,1,2,7,7,7,7,3,6,7
"A39H9RIYRB5ZYV",2,"walk more to increase back stamina",5,6,"recurrance",7,7,10,3,6,6,6,7,7,1,1,7,7,7,7,4,1,7,1,1,1,7,7,6,7,4,7,1,1,7,3,4,1,2,7,7,6,4,4,6,7
"A39H9RIYRB5ZYV",3,"eat more leafy vegetables",5,6,"long-term",7,6,7,3,6,6,7,6,6,4,1,7,3,7,1,4,1,5,1,1,1,7,6,4,6,6,7,5,1,6,5,6,1,3,1,7,5,6,4,4,4
"A39H9RIYRB5ZYV",4,"get my child out of the house more",5,6,"recurrance",6,6,10,3,6,7,4,5,6,5,1,5,7,5,3,4,1,5,1,1,1,6,7,5,7,6,6,7,1,7,5,5,1,2,6,7,7,7,3,5,6
"A39H9RIYRB5ZYV",5,"complete my garden ",5,6,"long-term",7,5,12,1,6,7,7,6,7,5,1,5,5,7,2,5,1,6,1,1,1,6,7,6,6,6,7,7,1,7,6,5,1,2,3,7,6,4,3,4,6
"A19YQU3ZZ8USPO",1,"My goal is to create new content for Tiktok every other day.",3,3,"recurrance",7,7,8,5,5,5,3,6,6,2,1,7,3,7,4,5,3,3,1,1,1,5,5,4,5,3,4,5,6,3,5,3,1,2,6,6,2,6,3,5,2
"A19YQU3ZZ8USPO",2,"My goal is to create emotes, sub badges, and banners for Twitch weekly.",3,3,"short-term",7,7,9,6,6,6,2,7,6,1,1,7,3,7,4,4,2,4,1,1,2,5,6,5,5,4,5,4,5,4,5,2,1,3,5,7,2,6,3,4,3
"A19YQU3ZZ8USPO",3,"My goal is to stream at least once a week.",3,3,"recurrance",7,7,10,3,7,7,3,5,7,1,1,7,7,7,4,4,2,6,1,3,1,7,7,6,7,8,7,5,5,6,6,5,1,3,7,7,1,6,4,6,6
"A2EK1HDV4I4GSK",1,"My goal is to lose 20 pounds in the next 90 days.",2,2,"long-term",4,7,9,7,5,6,6,6,7,5,3,2,6,7,6,6,1,4,4,1,1,7,6,5,6,6,6,4,4,4,7,7,3,3,6,7,5,6,3,6,4
"A2EK1HDV4I4GSK",2,"My goal is to save enough money to take my family to the beach this summer.",2,2,"long-term",6,6,10,4,6,6,4,6,7,5,3,3,5,4,6,5,3,7,6,1,2,5,6,6,7,4,5,7,6,5,7,4,5,5,7,6,6,6,3,6,6
"A11F3MA5FWH6SJ",1,"My goal is to exercise twice a week at minimum. ",3,3,"recurrance",5,7,9,7,7,7,7,7,7,7,2,3,7,7,5,2,3,3,1,3,1,7,7,4,7,6,7,4,5,7,7,4,7,6,7,7,7,7,1,7,4
"A11F3MA5FWH6SJ",2,"My goal is to eat fruit or vegetables daily.",3,3,"recurrance",6,7,10,3,7,7,7,7,6,7,2,2,4,7,2,4,3,3,1,3,1,6,7,5,7,8,7,5,7,7,7,4,1,4,6,5,7,7,1,5,3
"A11F3MA5FWH6SJ",3,"My goal is to purchase a new air conditioner within the next three months.",3,3,"short-term",4,7,8,NA,7,7,5,5,7,2,1,1,4,7,6,7,NA,2,5,2,NA,4,7,5,7,8,3,4,1,7,2,2,1,2,7,5,4,7,3,7,7
