"Goals","factor","GF","KA","KP","LN","MDK","MP","TS","ZH"
"I want to be able to completely clean my closet","Measurability",NA,NA,NA,NA,1,NA,3.5,NA
"I want to be able to completely clean my closet","Value",NA,NA,NA,NA,3.28571428571429,NA,2.57142857142857,NA
"I want to be debt free in the next few months.","Attainability",0,NA,NA,NA,NA,NA,2.5,NA
"I want to be debt free in the next few months.","Consensus",3.25,NA,NA,NA,NA,NA,2.25,NA
"I want to be debt free in the next few months.","External",2.8,NA,NA,NA,NA,NA,3.4,NA
"I want to be debt free in the next few months.","Instrumentality",4,NA,NA,NA,NA,NA,4.5,NA
"I want to be debt free in the next few months.","Measurability",4.5,NA,NA,NA,NA,NA,4.5,NA
"I want to be debt free in the next few months.","Value",4.42857142857143,NA,NA,NA,NA,NA,3.42857142857143,NA
"I want to be highly active three times a week-- such as going on a hike, or spending 45 minutes on the ellipitcal.","Attainability",NA,NA,NA,4,5,NA,NA,NA
"I want to be highly active three times a week-- such as going on a hike, or spending 45 minutes on the ellipitcal.","Consensus",NA,NA,NA,2.25,3,NA,NA,NA
"I want to be highly active three times a week-- such as going on a hike, or spending 45 minutes on the ellipitcal.","External",NA,NA,NA,2.8,4.4,NA,NA,NA
"I want to be highly active three times a week-- such as going on a hike, or spending 45 minutes on the ellipitcal.","Instrumentality",NA,NA,NA,3.5,6,NA,NA,NA
"I want to be highly active three times a week-- such as going on a hike, or spending 45 minutes on the ellipitcal.","Measurability",NA,NA,NA,5.5,6.5,NA,NA,NA
"I want to be highly active three times a week-- such as going on a hike, or spending 45 minutes on the ellipitcal.","Value",NA,NA,NA,3.85714285714286,5.14285714285714,NA,NA,NA
"I want to begin working out again, mainly on my abs.","Attainability",3.75,NA,NA,NA,NA,NA,4.25,NA
"I want to begin working out again, mainly on my abs.","Consensus",3,NA,NA,NA,NA,NA,1.5,NA
"I want to begin working out again, mainly on my abs.","External",1.2,NA,NA,NA,NA,NA,2.2,NA
"I want to begin working out again, mainly on my abs.","Instrumentality",4,NA,NA,NA,NA,NA,5,NA
"I want to begin working out again, mainly on my abs.","Measurability",3,NA,NA,NA,NA,NA,4.5,NA
"I want to begin working out again, mainly on my abs.","Value",2.14285714285714,NA,NA,NA,NA,NA,3.42857142857143,NA
"I want to buy five more ounces of silver by May 30th.","Attainability",NA,5.25,NA,2.25,NA,NA,NA,NA
"I want to buy five more ounces of silver by May 30th.","Consensus",NA,0,NA,0.75,NA,NA,NA,NA
"I want to buy five more ounces of silver by May 30th.","External",NA,2.75,NA,2,NA,NA,NA,NA
"I want to buy five more ounces of silver by May 30th.","Instrumentality",NA,5.5,NA,3.5,NA,NA,NA,NA
"I want to buy five more ounces of silver by May 30th.","Measurability",NA,5.5,NA,6,NA,NA,NA,NA
"I want to buy five more ounces of silver by May 30th.","Value",NA,3.57142857142857,NA,2.71428571428571,NA,NA,NA,NA
"I want to collect and dispose of a bag of trash from my basement every week through June.","Attainability",NA,NA,2.75,NA,NA,4.25,NA,NA
"I want to collect and dispose of a bag of trash from my basement every week through June.","Consensus",NA,NA,1,NA,NA,3,NA,NA
"I want to collect and dispose of a bag of trash from my basement every week through June.","External",NA,NA,4.5,NA,NA,5.6,NA,NA
"I want to collect and dispose of a bag of trash from my basement every week through June.","Instrumentality",NA,NA,4,NA,NA,5,NA,NA
"I want to collect and dispose of a bag of trash from my basement every week through June.","Measurability",NA,NA,4,NA,NA,5,NA,NA
"I want to collect and dispose of a bag of trash from my basement every week through June.","Value",NA,NA,3.83333333333333,NA,NA,3.85714285714286,NA,NA
"I want to complete sets of various exercises five days a week.","Attainability",NA,4.75,1.5,2.5,NA,NA,NA,NA
"I want to complete sets of various exercises five days a week.","Consensus",NA,-0.25,2,2.75,NA,NA,NA,NA
"I want to complete sets of various exercises five days a week.","External",NA,4.33333333333333,2.8,2.8,NA,NA,NA,NA
"I want to complete sets of various exercises five days a week.","Instrumentality",NA,5,2.5,3.5,NA,NA,NA,NA
"I want to complete sets of various exercises five days a week.","Measurability",NA,5.5,3,5,NA,NA,NA,NA
"I want to complete sets of various exercises five days a week.","Value",NA,4.85714285714286,4.14285714285714,3.42857142857143,NA,NA,NA,NA
"I want to continue to lose weight, I have lost some over the last several months but want and need to lose more. Hoping to lose more weight in the next few months.","Attainability",2.5,NA,NA,NA,NA,NA,4,NA
"I want to continue to lose weight, I have lost some over the last several months but want and need to lose more. Hoping to lose more weight in the next few months.","Consensus",3.5,NA,NA,NA,NA,NA,2.25,NA
"I want to continue to lose weight, I have lost some over the last several months but want and need to lose more. Hoping to lose more weight in the next few months.","External",2.6,NA,NA,NA,NA,NA,4.4,NA
"I want to continue to lose weight, I have lost some over the last several months but want and need to lose more. Hoping to lose more weight in the next few months.","Instrumentality",4,NA,NA,NA,NA,NA,4.5,NA
"I want to continue to lose weight, I have lost some over the last several months but want and need to lose more. Hoping to lose more weight in the next few months.","Measurability",1.5,NA,NA,NA,NA,NA,5.5,NA
"I want to continue to lose weight, I have lost some over the last several months but want and need to lose more. Hoping to lose more weight in the next few months.","Value",2.71428571428571,NA,NA,NA,NA,NA,4.71428571428571,NA
"I want to cook at home, instead of grabbing takeout, Monday through Friday of every week.","Attainability",NA,NA,NA,3.25,NA,NA,3.66666666666667,NA
"I want to cook at home, instead of grabbing takeout, Monday through Friday of every week.","Consensus",NA,NA,NA,2.75,NA,NA,1.25,NA
"I want to cook at home, instead of grabbing takeout, Monday through Friday of every week.","External",NA,NA,NA,3,NA,NA,3.2,NA
"I want to cook at home, instead of grabbing takeout, Monday through Friday of every week.","Instrumentality",NA,NA,NA,3.5,NA,NA,4.5,NA
"I want to cook at home, instead of grabbing takeout, Monday through Friday of every week.","Measurability",NA,NA,NA,5,NA,NA,5.5,NA
"I want to cook at home, instead of grabbing takeout, Monday through Friday of every week.","Value",NA,NA,NA,3.85714285714286,NA,NA,3.57142857142857,NA
"I want to cultivate a garden and produce my own food through this Summer.","Attainability",NA,6.66666666666667,1.5,NA,NA,NA,NA,NA
"I want to cultivate a garden and produce my own food through this Summer.","Consensus",NA,1,1.5,NA,NA,NA,NA,NA
"I want to cultivate a garden and produce my own food through this Summer.","External",NA,3,3,NA,NA,NA,NA,NA
"I want to cultivate a garden and produce my own food through this Summer.","Instrumentality",NA,4,3,NA,NA,NA,NA,NA
"I want to cultivate a garden and produce my own food through this Summer.","Measurability",NA,4,4.5,NA,NA,NA,NA,NA
"I want to cultivate a garden and produce my own food through this Summer.","Value",NA,5.28571428571429,3.71428571428571,NA,NA,NA,NA,NA
"I want to declutter my house within the next three months.","Attainability",4.25,NA,NA,NA,NA,NA,NA,6
"I want to declutter my house within the next three months.","Consensus",2.5,NA,NA,NA,NA,NA,NA,2
"I want to declutter my house within the next three months.","External",3.2,NA,NA,NA,NA,NA,NA,2.8
"I want to declutter my house within the next three months.","Instrumentality",4,NA,NA,NA,NA,NA,NA,4
"I want to declutter my house within the next three months.","Measurability",3,NA,NA,NA,NA,NA,NA,3
"I want to declutter my house within the next three months.","Value",1.42857142857143,NA,NA,NA,NA,NA,NA,3
"I want to drop my weight down from 165 to 155.","Attainability",2.75,NA,NA,NA,NA,NA,NA,NA
"I want to drop my weight down from 165 to 155.","Consensus",3.5,NA,NA,NA,NA,NA,NA,NA
"I want to drop my weight down from 165 to 155.","External",1.4,NA,NA,NA,NA,NA,NA,NA
"I want to drop my weight down from 165 to 155.","Instrumentality",4,NA,NA,NA,NA,NA,NA,NA
"I want to drop my weight down from 165 to 155.","Measurability",5,NA,NA,NA,NA,NA,NA,NA
"I want to drop my weight down from 165 to 155.","Value",3,NA,NA,NA,NA,NA,NA,NA
"I want to earn at least $1500 every month from traditional means of income","Attainability",NA,7.33333333333333,2.75,NA,NA,NA,NA,NA
"I want to earn at least $1500 every month from traditional means of income","Consensus",NA,1.33333333333333,3,NA,NA,NA,NA,NA
"I want to earn at least $1500 every month from traditional means of income","External",NA,2.8,5,NA,NA,NA,NA,NA
"I want to earn at least $1500 every month from traditional means of income","Instrumentality",NA,6,4.5,NA,NA,NA,NA,NA
"I want to earn at least $1500 every month from traditional means of income","Measurability",NA,5,4,NA,NA,NA,NA,NA
"I want to earn at least $1500 every month from traditional means of income","Value",NA,3.57142857142857,4.33333333333333,NA,NA,NA,NA,NA
"I want to earn at least $700 each month on MTurk from April through June.","Attainability",NA,4.25,NA,NA,4,NA,NA,NA
"I want to earn at least $700 each month on MTurk from April through June.","Consensus",NA,1.25,NA,NA,1,NA,NA,NA
"I want to earn at least $700 each month on MTurk from April through June.","External",NA,4,NA,NA,2.2,NA,NA,NA
"I want to earn at least $700 each month on MTurk from April through June.","Instrumentality",NA,5.5,NA,NA,6,NA,NA,NA
"I want to earn at least $700 each month on MTurk from April through June.","Measurability",NA,7,NA,NA,6,NA,NA,NA
"I want to earn at least $700 each month on MTurk from April through June.","Value",NA,4,NA,NA,3.42857142857143,NA,NA,NA
"I want to eat fruits and vegetables at least once a day.","Attainability",NA,NA,NA,NA,NA,NA,NA,6
"I want to eat fruits and vegetables at least once a day.","Consensus",NA,NA,NA,NA,NA,NA,NA,1.75
"I want to eat fruits and vegetables at least once a day.","External",NA,NA,NA,NA,NA,NA,NA,2
"I want to eat fruits and vegetables at least once a day.","Instrumentality",NA,NA,NA,NA,NA,NA,NA,4.5
"I want to eat fruits and vegetables at least once a day.","Measurability",NA,NA,NA,NA,NA,NA,NA,4.5
"I want to eat fruits and vegetables at least once a day.","Value",NA,NA,NA,NA,NA,NA,NA,2.28571428571429
"I want to eat healthier at least once a day, every day.","Attainability",NA,NA,NA,3.5,NA,3.75,NA,NA
"I want to eat healthier at least once a day, every day.","Consensus",NA,NA,NA,3.25,NA,3,NA,NA
"I want to eat healthier at least once a day, every day.","External",NA,NA,NA,2.6,NA,4.4,NA,NA
"I want to eat healthier at least once a day, every day.","Instrumentality",NA,NA,NA,3.5,NA,5,NA,NA
"I want to eat healthier at least once a day, every day.","Measurability",NA,NA,NA,3.5,NA,4,NA,NA
"I want to eat healthier at least once a day, every day.","Value",NA,NA,NA,2.28571428571429,NA,4.57142857142857,NA,NA
"I want to eat healthier.","Attainability",3.75,NA,NA,NA,NA,NA,NA,5.66666666666667
"I want to eat healthier.","Consensus",3.25,NA,NA,NA,NA,NA,NA,3.75
"I want to eat healthier.","External",1.4,NA,NA,NA,NA,NA,NA,5.2
"I want to eat healthier.","Instrumentality",4.5,NA,NA,NA,NA,NA,NA,5
"I want to eat healthier.","Measurability",2,NA,NA,NA,NA,NA,NA,1.5
"I want to eat healthier.","Value",3.28571428571429,NA,NA,NA,NA,NA,NA,5.14285714285714
"I want to enjoy the upcoming summer as much as possible.","Attainability",NA,NA,NA,4.25,NA,NA,NA,6.33333333333333
"I want to enjoy the upcoming summer as much as possible.","Consensus",NA,NA,NA,1.25,NA,NA,NA,1.25
"I want to enjoy the upcoming summer as much as possible.","External",NA,NA,NA,3,NA,NA,NA,2.2
"I want to enjoy the upcoming summer as much as possible.","Instrumentality",NA,NA,NA,4,NA,NA,NA,3.5
"I want to enjoy the upcoming summer as much as possible.","Measurability",NA,NA,NA,2.5,NA,NA,NA,2.5
"I want to enjoy the upcoming summer as much as possible.","Value",NA,NA,NA,2.85714285714286,NA,NA,NA,3.85714285714286
"I want to exercise at least twice a week, every week.","Attainability",NA,NA,NA,3,NA,NA,NA,NA
"I want to exercise at least twice a week, every week.","Consensus",NA,NA,NA,2.75,NA,NA,NA,NA
"I want to exercise at least twice a week, every week.","External",NA,NA,NA,2.6,NA,NA,NA,NA
"I want to exercise at least twice a week, every week.","Instrumentality",NA,NA,NA,3.5,NA,NA,NA,NA
"I want to exercise at least twice a week, every week.","Measurability",NA,NA,NA,4.5,NA,NA,NA,NA
"I want to exercise at least twice a week, every week.","Value",NA,NA,NA,2.71428571428571,NA,NA,NA,NA
"I want to find a job that is meaningful to me in the next year.","Attainability",NA,NA,NA,2,NA,NA,NA,NA
"I want to find a job that is meaningful to me in the next year.","Consensus",NA,NA,NA,2.5,NA,NA,NA,NA
"I want to find a job that is meaningful to me in the next year.","External",NA,NA,NA,3,NA,NA,NA,NA
"I want to find a job that is meaningful to me in the next year.","Instrumentality",NA,NA,NA,4.5,NA,NA,NA,NA
"I want to find a job that is meaningful to me in the next year.","Measurability",NA,NA,NA,3.5,NA,NA,NA,NA
"I want to find a job that is meaningful to me in the next year.","Value",NA,NA,NA,4.14285714285714,NA,NA,NA,NA
"I want to finish my novel.","Attainability",NA,NA,NA,NA,NA,3,NA,5
"I want to finish my novel.","Consensus",NA,NA,NA,NA,NA,2,NA,0.5
"I want to finish my novel.","External",NA,NA,NA,NA,NA,5.2,NA,4.2
"I want to finish my novel.","Instrumentality",NA,NA,NA,NA,NA,4.5,NA,5.5
"I want to finish my novel.","Measurability",NA,NA,NA,NA,NA,3,NA,5.5
"I want to finish my novel.","Value",NA,NA,NA,NA,NA,5.14285714285714,NA,5
"I want to finish paying my daughter's high school tuition by April 15, 2021.","Attainability",0.75,NA,NA,2.25,NA,NA,NA,NA
"I want to finish paying my daughter's high school tuition by April 15, 2021.","Consensus",2.5,NA,NA,1.75,NA,NA,NA,NA
"I want to finish paying my daughter's high school tuition by April 15, 2021.","External",6.4,NA,NA,4.6,NA,NA,NA,NA
"I want to finish paying my daughter's high school tuition by April 15, 2021.","Instrumentality",4.5,NA,NA,4,NA,NA,NA,NA
"I want to finish paying my daughter's high school tuition by April 15, 2021.","Measurability",5,NA,NA,4.5,NA,NA,NA,NA
"I want to finish paying my daughter's high school tuition by April 15, 2021.","Value",3.85714285714286,NA,NA,3.28571428571429,NA,NA,NA,NA
"I want to finish the landscaping at my mother's house. I would like to complete the fencing and plant more greenery.","Attainability",1.25,4.25,NA,NA,NA,NA,NA,NA
"I want to finish the landscaping at my mother's house. I would like to complete the fencing and plant more greenery.","Consensus",0.25,1.75,NA,NA,NA,NA,NA,NA
"I want to finish the landscaping at my mother's house. I would like to complete the fencing and plant more greenery.","External",6.8,5.8,NA,NA,NA,NA,NA,NA
"I want to finish the landscaping at my mother's house. I would like to complete the fencing and plant more greenery.","Instrumentality",4,3.5,NA,NA,NA,NA,NA,NA
"I want to finish the landscaping at my mother's house. I would like to complete the fencing and plant more greenery.","Measurability",4,7,NA,NA,NA,NA,NA,NA
"I want to finish the landscaping at my mother's house. I would like to complete the fencing and plant more greenery.","Value",4.28571428571429,4.57142857142857,NA,NA,NA,NA,NA,NA
"I want to gain some weight over the next few months, but preserve my abs.","Attainability",NA,NA,NA,2.75,NA,NA,NA,4.66666666666667
"I want to gain some weight over the next few months, but preserve my abs.","Consensus",NA,NA,NA,2,NA,NA,NA,1.75
"I want to gain some weight over the next few months, but preserve my abs.","External",NA,NA,NA,2.6,NA,NA,NA,2.2
"I want to gain some weight over the next few months, but preserve my abs.","Instrumentality",NA,NA,NA,3.5,NA,NA,NA,3
"I want to gain some weight over the next few months, but preserve my abs.","Measurability",NA,NA,NA,5,NA,NA,NA,4
"I want to gain some weight over the next few months, but preserve my abs.","Value",NA,NA,NA,2.42857142857143,NA,NA,NA,2.71428571428571
"I want to get back in the habit of exercising daily and lose at least 20 pounds by the end of the year.","Attainability",NA,NA,NA,NA,NA,2,3.75,NA
"I want to get back in the habit of exercising daily and lose at least 20 pounds by the end of the year.","Consensus",NA,NA,NA,NA,NA,2.5,1.5,NA
"I want to get back in the habit of exercising daily and lose at least 20 pounds by the end of the year.","External",NA,NA,NA,NA,NA,5.2,3.6,NA
"I want to get back in the habit of exercising daily and lose at least 20 pounds by the end of the year.","Instrumentality",NA,NA,NA,NA,NA,4.5,4.5,NA
"I want to get back in the habit of exercising daily and lose at least 20 pounds by the end of the year.","Measurability",NA,NA,NA,NA,NA,6.5,6.5,NA
"I want to get back in the habit of exercising daily and lose at least 20 pounds by the end of the year.","Value",NA,NA,NA,NA,NA,4,4.85714285714286,NA
"I want to get back into reading regularly (at least 5 days a week).","Attainability",5.25,NA,NA,NA,NA,NA,4,NA
"I want to get back into reading regularly (at least 5 days a week).","Consensus",1.75,NA,NA,NA,NA,NA,0.25,NA
"I want to get back into reading regularly (at least 5 days a week).","External",1.2,NA,NA,NA,NA,NA,2,NA
"I want to get back into reading regularly (at least 5 days a week).","Instrumentality",4,NA,NA,NA,NA,NA,5,NA
"I want to get back into reading regularly (at least 5 days a week).","Measurability",4,NA,NA,NA,NA,NA,4,NA
"I want to get back into reading regularly (at least 5 days a week).","Value",2.57142857142857,NA,NA,NA,NA,NA,3.85714285714286,NA
"I want to get more exercise.","Attainability",4.25,NA,NA,NA,NA,NA,NA,6.66666666666667
"I want to get more exercise.","Consensus",4,NA,NA,NA,NA,NA,NA,3.5
"I want to get more exercise.","External",1.6,NA,NA,NA,NA,NA,NA,3.8
"I want to get more exercise.","Instrumentality",4.5,NA,NA,NA,NA,NA,NA,5
"I want to get more exercise.","Measurability",4.5,NA,NA,NA,NA,NA,NA,2
"I want to get more exercise.","Value",3,NA,NA,NA,NA,NA,NA,4
"I want to get rid of at least 5 items of unwanted items in the house (trash, recycle, or donate).","Attainability",NA,NA,NA,NA,6,NA,NA,6.66666666666667
"I want to get rid of at least 5 items of unwanted items in the house (trash, recycle, or donate).","Consensus",NA,NA,NA,NA,2.75,NA,NA,0.75
"I want to get rid of at least 5 items of unwanted items in the house (trash, recycle, or donate).","External",NA,NA,NA,NA,3.8,NA,NA,3.2
"I want to get rid of at least 5 items of unwanted items in the house (trash, recycle, or donate).","Instrumentality",NA,NA,NA,NA,4,NA,NA,5
"I want to get rid of at least 5 items of unwanted items in the house (trash, recycle, or donate).","Measurability",NA,NA,NA,NA,5.5,NA,NA,4
"I want to get rid of at least 5 items of unwanted items in the house (trash, recycle, or donate).","Value",NA,NA,NA,NA,2.42857142857143,NA,NA,1.85714285714286
"I want to have at $1000 in my brokerage account.","Attainability",NA,6,1.25,NA,4,NA,NA,NA
"I want to have at $1000 in my brokerage account.","Consensus",NA,0.5,2,NA,3,NA,NA,NA
"I want to have at $1000 in my brokerage account.","External",NA,2.5,3.8,NA,4.4,NA,NA,NA
"I want to have at $1000 in my brokerage account.","Instrumentality",NA,6,4.5,NA,6.5,NA,NA,NA
"I want to have at $1000 in my brokerage account.","Measurability",NA,5,3.5,NA,4,NA,NA,NA
"I want to have at $1000 in my brokerage account.","Value",NA,4.14285714285714,4.28571428571429,NA,5.28571428571429,NA,NA,NA
"I want to have at least 30 minutes of vigorous activity at least 4 times a week.","Attainability",NA,4.5,NA,NA,4.5,NA,NA,NA
"I want to have at least 30 minutes of vigorous activity at least 4 times a week.","Consensus",NA,0.25,NA,NA,3.25,NA,NA,NA
"I want to have at least 30 minutes of vigorous activity at least 4 times a week.","External",NA,4.5,NA,NA,4,NA,NA,NA
"I want to have at least 30 minutes of vigorous activity at least 4 times a week.","Instrumentality",NA,4,NA,NA,6.5,NA,NA,NA
"I want to have at least 30 minutes of vigorous activity at least 4 times a week.","Measurability",NA,2.5,NA,NA,7,NA,NA,NA
"I want to have at least 30 minutes of vigorous activity at least 4 times a week.","Value",NA,3.57142857142857,NA,NA,5.28571428571429,NA,NA,NA
"I want to have my YouTube Channel hit 100 subscribers.","Attainability",NA,NA,NA,NA,NA,NA,1,4.66666666666667
"I want to have my YouTube Channel hit 100 subscribers.","Consensus",NA,NA,NA,NA,NA,NA,1,-0.25
"I want to have my YouTube Channel hit 100 subscribers.","External",NA,NA,NA,NA,NA,NA,2.8,3.2
"I want to have my YouTube Channel hit 100 subscribers.","Instrumentality",NA,NA,NA,NA,NA,NA,3,1.5
"I want to have my YouTube Channel hit 100 subscribers.","Measurability",NA,NA,NA,NA,NA,NA,6.5,5
"I want to have my YouTube Channel hit 100 subscribers.","Value",NA,NA,NA,NA,NA,NA,3.85714285714286,3
"I want to improve my body composition by losing fat and building muscle","Attainability",NA,7.33333333333333,2.5,2.5,NA,NA,NA,NA
"I want to improve my body composition by losing fat and building muscle","Consensus",NA,1.5,1.25,2.25,NA,NA,NA,NA
"I want to improve my body composition by losing fat and building muscle","External",NA,2.8,4.6,2.8,NA,NA,NA,NA
"I want to improve my body composition by losing fat and building muscle","Instrumentality",NA,4.5,2.5,4,NA,NA,NA,NA
"I want to improve my body composition by losing fat and building muscle","Measurability",NA,4,4,4.5,NA,NA,NA,NA
"I want to improve my body composition by losing fat and building muscle","Value",NA,4,4.28571428571429,4,NA,NA,NA,NA
"I want to increase my income this year by 10 percent over last year.","Attainability",NA,NA,3.25,NA,NA,NA,NA,5
"I want to increase my income this year by 10 percent over last year.","Consensus",NA,NA,3.25,NA,NA,NA,NA,2.25
"I want to increase my income this year by 10 percent over last year.","External",NA,NA,6,NA,NA,NA,NA,3.2
"I want to increase my income this year by 10 percent over last year.","Instrumentality",NA,NA,6,NA,NA,NA,NA,4.5
"I want to increase my income this year by 10 percent over last year.","Measurability",NA,NA,5.5,NA,NA,NA,NA,4.5
"I want to increase my income this year by 10 percent over last year.","Value",NA,NA,4.4,NA,NA,NA,NA,4.85714285714286
"I want to increase my monthly income with smart investing.","Attainability",NA,NA,NA,2.75,3.25,NA,NA,NA
"I want to increase my monthly income with smart investing.","Consensus",NA,NA,NA,2.75,2,NA,NA,NA
"I want to increase my monthly income with smart investing.","External",NA,NA,NA,3.2,2.2,NA,NA,NA
"I want to increase my monthly income with smart investing.","Instrumentality",NA,NA,NA,3,5.5,NA,NA,NA
"I want to increase my monthly income with smart investing.","Measurability",NA,NA,NA,4,5.5,NA,NA,NA
"I want to increase my monthly income with smart investing.","Value",NA,NA,NA,3.42857142857143,5,NA,NA,NA
"I want to increase my savings account to 20,000 by end of year.","Attainability",NA,4.5,NA,NA,NA,NA,1.75,NA
"I want to increase my savings account to 20,000 by end of year.","Consensus",NA,0.666666666666667,NA,NA,NA,NA,2.5,NA
"I want to increase my savings account to 20,000 by end of year.","External",NA,1.8,NA,NA,NA,NA,3.2,NA
"I want to increase my savings account to 20,000 by end of year.","Instrumentality",NA,6.5,NA,NA,NA,NA,4,NA
"I want to increase my savings account to 20,000 by end of year.","Measurability",NA,6.5,NA,NA,NA,NA,6,NA
"I want to increase my savings account to 20,000 by end of year.","Value",NA,4.71428571428571,NA,NA,NA,NA,5,NA
"I want to invest in more dividend or growth stocks in my IRA before the end of 2021 to diversify more.","Attainability",NA,5,NA,NA,NA,4,NA,NA
"I want to invest in more dividend or growth stocks in my IRA before the end of 2021 to diversify more.","Consensus",NA,2,NA,NA,NA,2.5,NA,NA
"I want to invest in more dividend or growth stocks in my IRA before the end of 2021 to diversify more.","External",NA,2.8,NA,NA,NA,4.6,NA,NA
"I want to invest in more dividend or growth stocks in my IRA before the end of 2021 to diversify more.","Instrumentality",NA,6.5,NA,NA,NA,6,NA,NA
"I want to invest in more dividend or growth stocks in my IRA before the end of 2021 to diversify more.","Measurability",NA,5,NA,NA,NA,5,NA,NA
"I want to invest in more dividend or growth stocks in my IRA before the end of 2021 to diversify more.","Value",NA,4.57142857142857,NA,NA,NA,4.14285714285714,NA,NA
"I want to learn to speak Vietnamese.","Attainability",NA,NA,NA,2.75,2.75,NA,NA,NA
"I want to learn to speak Vietnamese.","Consensus",NA,NA,NA,0.5,1.25,NA,NA,NA
"I want to learn to speak Vietnamese.","External",NA,NA,NA,2.2,2.2,NA,NA,NA
"I want to learn to speak Vietnamese.","Instrumentality",NA,NA,NA,4,5,NA,NA,NA
"I want to learn to speak Vietnamese.","Measurability",NA,NA,NA,3,5,NA,NA,NA
"I want to learn to speak Vietnamese.","Value",NA,NA,NA,2.42857142857143,4.85714285714286,NA,NA,NA
"I want to lose 10 pounds in the next three months.","Attainability",NA,NA,NA,3,NA,NA,NA,5.66666666666667
"I want to lose 10 pounds in the next three months.","Consensus",NA,NA,NA,2.75,NA,NA,NA,2.75
"I want to lose 10 pounds in the next three months.","External",NA,NA,NA,2.6,NA,NA,NA,3.8
"I want to lose 10 pounds in the next three months.","Instrumentality",NA,NA,NA,3.5,NA,NA,NA,4
"I want to lose 10 pounds in the next three months.","Measurability",NA,NA,NA,4.5,NA,NA,NA,5.5
"I want to lose 10 pounds in the next three months.","Value",NA,NA,NA,3.42857142857143,NA,NA,NA,3.42857142857143
"I want to lose 10-15 pounds over the next 3 months.","Attainability",NA,NA,2.75,NA,4,NA,NA,NA
"I want to lose 10-15 pounds over the next 3 months.","Consensus",NA,NA,4.25,NA,3.5,NA,NA,NA
"I want to lose 10-15 pounds over the next 3 months.","External",NA,NA,5.33333333333333,NA,4.2,NA,NA,NA
"I want to lose 10-15 pounds over the next 3 months.","Instrumentality",NA,NA,6,NA,5.5,NA,NA,NA
"I want to lose 10-15 pounds over the next 3 months.","Measurability",NA,NA,7,NA,6,NA,NA,NA
"I want to lose 10-15 pounds over the next 3 months.","Value",NA,NA,4.28571428571429,NA,4.42857142857143,NA,NA,NA
"I want to lose weight over the course of the next year","Attainability",NA,NA,4.25,2.75,NA,NA,NA,NA
"I want to lose weight over the course of the next year","Consensus",NA,NA,4.75,2.75,NA,NA,NA,NA
"I want to lose weight over the course of the next year","External",NA,NA,3.5,3.6,NA,NA,NA,NA
"I want to lose weight over the course of the next year","Instrumentality",NA,NA,3.5,4,NA,NA,NA,NA
"I want to lose weight over the course of the next year","Measurability",NA,NA,5.5,4.5,NA,NA,NA,NA
"I want to lose weight over the course of the next year","Value",NA,NA,4.16666666666667,3.14285714285714,NA,NA,NA,NA
"I want to lower my BMI by ten percent by the end of 2021.","Attainability",NA,2.33333333333333,NA,NA,NA,NA,NA,4.66666666666667
"I want to lower my BMI by ten percent by the end of 2021.","Consensus",NA,-1,NA,NA,NA,NA,NA,2
"I want to lower my BMI by ten percent by the end of 2021.","External",NA,5.2,NA,NA,NA,NA,NA,2.2
"I want to lower my BMI by ten percent by the end of 2021.","Instrumentality",NA,4,NA,NA,NA,NA,NA,3.5
"I want to lower my BMI by ten percent by the end of 2021.","Measurability",NA,5,NA,NA,NA,NA,NA,5.5
"I want to lower my BMI by ten percent by the end of 2021.","Value",NA,4.71428571428571,NA,NA,NA,NA,NA,2.85714285714286
"I want to lower my credit card debt by 50% by the end of 2021.","Attainability",NA,NA,1.25,NA,NA,1.25,NA,NA
"I want to lower my credit card debt by 50% by the end of 2021.","Consensus",NA,NA,5,NA,NA,4,NA,NA
"I want to lower my credit card debt by 50% by the end of 2021.","External",NA,NA,6,NA,NA,5.6,NA,NA
"I want to lower my credit card debt by 50% by the end of 2021.","Instrumentality",NA,NA,5.5,NA,NA,5.5,NA,NA
"I want to lower my credit card debt by 50% by the end of 2021.","Measurability",NA,NA,7,NA,NA,6,NA,NA
"I want to lower my credit card debt by 50% by the end of 2021.","Value",NA,NA,5.42857142857143,NA,NA,4.85714285714286,NA,NA
"I want to make at least an extra $75 a week to help address loss of income due to COVID.","Attainability",2.25,NA,NA,NA,NA,NA,3,NA
"I want to make at least an extra $75 a week to help address loss of income due to COVID.","Consensus",2,NA,NA,NA,NA,NA,2,NA
"I want to make at least an extra $75 a week to help address loss of income due to COVID.","External",3.6,NA,NA,NA,NA,NA,4.6,NA
"I want to make at least an extra $75 a week to help address loss of income due to COVID.","Instrumentality",4,NA,NA,NA,NA,NA,4,NA
"I want to make at least an extra $75 a week to help address loss of income due to COVID.","Measurability",6,NA,NA,NA,NA,NA,5.5,NA
"I want to make at least an extra $75 a week to help address loss of income due to COVID.","Value",3,NA,NA,NA,NA,NA,3.57142857142857,NA
"I want to manage my time better.","Attainability",2,NA,NA,3,NA,NA,NA,NA
"I want to manage my time better.","Consensus",3.25,NA,NA,2.25,NA,NA,NA,NA
"I want to manage my time better.","External",4.8,NA,NA,3.8,NA,NA,NA,NA
"I want to manage my time better.","Instrumentality",7,NA,NA,6,NA,NA,NA,NA
"I want to manage my time better.","Measurability",4.5,NA,NA,2.5,NA,NA,NA,NA
